Ａ．Ｃ．グランド,岐阜県岐阜市茜部大川1-77,"https://maps.google.com/maps?q=Ａ．Ｃ．グランド@35.3830948,136.7461877",35.3830948,136.7461877,,岐阜県,,岐阜市,,茜部大川1-77,-1,9,0,24,0
ACT草津ACTION,滋賀県草津市野路町1161-1,"https://maps.google.com/maps?q=ACT草津ACTION@34.99910072594442,135.94590392750854",34.99910073,135.9459039,,滋賀県,,草津市,,野路町1161-1,-1,-1,-1,-1,-1
ＡＤＸマミー出川店,愛知県春日井市不二ヶ丘１丁目５番地,"https://maps.google.com/maps?q=ＡＤＸマミー出川店@35.2673215,137.0126718",35.2673215,137.0126718,,愛知県,,春日井市,,不二ヶ丘１丁目５番地,-1,9,0,0,0
ＡＤＸマミー岡崎店,愛知県岡崎市井田新町６−１,"https://maps.google.com/maps?q=ＡＤＸマミー岡崎店@34.977030771170874,137.16171953795924",34.97703077,137.1617195,,愛知県,,岡崎市,,井田新町６−１,-1,-1,-1,-1,-1
Amusement&Game MAGHREB,東京都多摩市落合１−４１−１マグレブウェスト１階・２階,"https://maps.google.com/maps?q=Amusement&Game MAGHREB@35.6245439,139.4256174",35.6245439,139.4256174,,東京都,,多摩市,,落合１−４１−１マグレブウェスト１階・２階,-1,-1,-1,-1,-1
ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番,"https://maps.google.com/maps?q=ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ@31.815807337301123,130.30740182481463",31.81580734,130.3074018,,鹿児島県,,薩摩川内市,,向田本町４９番,-1,10,0,24,0
AMパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町３０２７イオンモール専門店街３階,"https://maps.google.com/maps?q=AMパークイオンモール奈良登美ヶ丘店@34.72600795402996,135.7505666121948",34.72600795,135.7505666,,奈良県,,生駒市,,鹿畑町３０２７イオンモール専門店街３階,-1,-1,-1,-1,-1
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１,"https://maps.google.com/maps?q=ＢＩＧＢＡＮＧ北見店@43.79707114010737,143.851401946627",43.79707114,143.8514019,bigbang,北海道,,北見市,,中央三輪7丁目４４６−１,-1,10,0,24,0
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１,"https://maps.google.com/maps?q=ＢＩＧＢＡＮＧ釧路@43.008918973170516,144.40800352460633",43.00891897,144.4080035,bigbang,北海道,釧路郡,釧路町,,木場２−１,-1,9,0,24,0
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ,"https://maps.google.com/maps?q=ＢＩＧＢＡＮＧ函館@41.78903779046837,140.74438390245098",41.78903779,140.7443839,bigbang,北海道,,函館市,,梁川町９−３テキサスビル３Ｆ,-1,10,0,24,0
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１,"https://maps.google.com/maps?q=ＢＩＧＢＡＮＧ室蘭@42.35352635249717,141.01454196745908",42.35352635,141.014542,bigbang,北海道,,室蘭市,,中島本町２−８−１,-1,10,0,1,0
ＢＩＮＧＯ一関,岩手県一関市山目字中野９２−１,"https://maps.google.com/maps?q=ＢＩＮＧＯ一関@38.933759975927046,141.11832127116395",38.93375998,141.1183213,,岩手県,,一関市,,山目字中野９２−１,-1,-1,-1,-1,-1
ＤＡＩＫＥＩＥＮ,千葉県市川市大町３５９,"https://maps.google.com/maps?q=ＤＡＩＫＥＩＥＮ@35.762464280696484,139.96915520960079",35.76246428,139.9691552,,千葉県,,市川市,,大町３５９,-1,0,0,24,0
ENTERTAINMENT FIELD ららぽーとEXPOCITY店,大阪府吹田市千里万博公園２−１ららぽーとＥＸＰＯＣＩＴＹ３Ｆ,"https://maps.google.com/maps?q=ENTERTAINMENT FIELD ららぽーとEXPOCITY店@34.8054029,135.5354552",34.8054029,135.5354552,,大阪府,,吹田市,,千里万博公園２−１ららぽーとＥＸＰＯＣＩＴＹ３Ｆ,-1,-1,-1,-1,-1
ＦｅｅｄｙＡ茨木,大阪府茨木市松ケ本町８−３０−５　イオンＳＣ４Ｆ,"https://maps.google.com/maps?q=ＦｅｅｄｙＡ茨木@34.810615223375024,135.55853846137688",34.81061522,135.5585385,,大阪府,,茨木市,,松ケ本町８−３０−５　イオンＳＣ４Ｆ,-1,9,0,22,0
